epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,3196.2,0.70599,1.17097,0.77769,0.98319,0.61148,0.83713,0.70045,0.59184,0.61812,0.83757,0.70508,0.56911,0.62429,1.04244,0.69352,0.93452,0.000227143,0.000227143,0.000227143
41,3276.11,0.70371,1.16014,0.76291,0.98498,0.60446,0.83073,0.68949,0.58106,0.60653,0.83355,0.69324,0.55759,0.62816,1.05666,0.71659,0.93716,0.00022348,0.00022348,0.00022348
42,3355.65,0.70215,1.16477,0.7592,0.98607,0.62153,0.85129,0.70366,0.59492,0.62376,0.85422,0.70662,0.57049,0.61874,1.03534,0.66088,0.93142,0.000219817,0.000219817,0.000219817
43,3435.56,0.70092,1.16862,0.75298,0.98067,0.62013,0.81619,0.70267,0.59569,0.62291,0.81833,0.70569,0.5718,0.61832,1.03674,0.6807,0.93193,0.000216154,0.000216154,0.000216154
44,3515.65,0.69708,1.14516,0.74357,0.9801,0.60374,0.82079,0.70271,0.5964,0.60626,0.82124,0.70628,0.57242,0.6136,1.03297,0.70633,0.92762,0.000212491,0.000212491,0.000212491
45,3595.16,0.69808,1.15698,0.7584,0.98061,0.62775,0.83035,0.70709,0.5987,0.63074,0.83055,0.70984,0.57587,0.62417,1.0314,0.67057,0.9381,0.000208828,0.000208828,0.000208828
46,3675.1,0.68973,1.13634,0.73711,0.97383,0.62294,0.8333,0.70801,0.60251,0.62465,0.83489,0.71234,0.58024,0.61313,1.022,0.66912,0.92926,0.000205165,0.000205165,0.000205165
47,3755.54,0.6881,1.14378,0.72755,0.97525,0.62304,0.82681,0.70429,0.59809,0.62926,0.82598,0.70852,0.57328,0.61672,1.02381,0.67226,0.92959,0.000201502,0.000201502,0.000201502
48,3835.37,0.6847,1.13365,0.72752,0.974,0.62244,0.84586,0.69599,0.59168,0.62488,0.84975,0.69775,0.56875,0.6101,1.02011,0.66496,0.92692,0.000197839,0.000197839,0.000197839
49,3914.69,0.68435,1.1312,0.72053,0.97506,0.61544,0.84166,0.70417,0.60159,0.61998,0.83844,0.70751,0.57543,0.61885,1.02074,0.66204,0.93316,0.000194176,0.000194176,0.000194176
